iter	RMSE
0	9.185264113
1	8.893634024
2	8.602596813
3	8.319932704
4	8.058056662
5	7.81885706
6	7.574131958
7	7.336467672
8	7.111626566
9	6.892016816
10	6.678225841
11	6.500121407
12	6.307808423
13	6.117941293
14	5.947424605
15	5.792075441
16	5.62089982
17	5.462886888
18	5.32686263
19	5.182407946
20	5.031780891
21	4.908621537
22	4.78616058
23	4.682669388
24	4.567117146
25	4.459084982
26	4.343971842
27	4.234427095
28	4.130017055
29	4.020119346
30	3.920544704
31	3.838515509
32	3.740208602
33	3.677074006
34	3.605641496
35	3.524486844
36	3.449341495
37	3.374666056
38	3.304890825
39	3.239523616
40	3.186227615
41	3.124112495
42	3.062531052
43	2.995077126
44	2.958958771
45	2.90241834
46	2.845123636
47	2.789597295
48	2.73952337
49	2.686865538
50	2.642518639
51	2.610632404
52	2.573111549
53	2.529589533
54	2.494262017
55	2.456285263
56	2.420532817
57	2.377284398
58	2.350757961
59	2.318428704
60	2.279570577
61	2.249605505
62	2.214460236
63	2.195063472
64	2.167402926
65	2.142687979
66	2.121617593
67	2.09578425
68	2.08438206
69	2.069094854
70	2.049099819
71	2.027557704
72	2.008157038
73	1.987264221
74	1.972989255
75	1.954319093
76	1.941528296
77	1.925680526
78	1.908202829
79	1.893752695
80	1.876338249
81	1.865245333
82	1.853172102
83	1.838298265
84	1.821988498
85	1.81003442
86	1.792909125
87	1.782445816
88	1.766376519
89	1.758606477
90	1.752814526
91	1.749099503
92	1.743105389
93	1.736550983
94	1.726062013
95	1.722633769
96	1.712305472
97	1.702721148
98	1.690840388
99	1.683156516
100	1.67312247
101	1.666254056
102	1.642732513
103	1.633322679
104	1.623729654
105	1.612396309
106	1.604109668
107	1.595066797
108	1.580962262
109	1.568313514
110	1.562783616
111	1.553963195
112	1.546399174
113	1.540445006
114	1.538015405
115	1.532108775
116	1.519425757
117	1.515915919
118	1.510185859
119	1.504953704
120	1.499272615
121	1.493243564
122	1.486683038
123	1.480899063
124	1.472915514
125	1.464748162
126	1.46201061
127	1.459797756
128	1.450034798
129	1.443457008
130	1.438993921
131	1.431361655
132	1.421345559
133	1.414241347
134	1.407069815
135	1.403396795
136	1.400743764
137	1.390054769
138	1.38254967
139	1.378894448
140	1.377054932
141	1.36801172
142	1.362114742
143	1.359114425
144	1.342948842
145	1.329745235
146	1.326296662
147	1.324559301
148	1.321544089
149	1.31888491
150	1.31640673
151	1.31458123
152	1.308614357
153	1.306889304
154	1.30543958
155	1.296999976
156	1.295404553
157	1.293933368
158	1.282965377
159	1.280143595
160	1.277932382
161	1.276008832
162	1.272068584
163	1.263512973
164	1.254081245
165	1.24437654
166	1.238733245
167	1.222052216
168	1.21142797
169	1.204533158
170	1.191773636
171	1.189777994
172	1.179335065
173	1.177664403
174	1.1703475
175	1.163484328
176	1.161251566
177	1.151835993
178	1.149246435
179	1.145102793
180	1.138504344
181	1.128891662
182	1.119930549
183	1.114849468
184	1.109326462
185	1.101144793
186	1.095253523
187	1.087625631
188	1.080505888
189	1.079216256
190	1.077269429
191	1.071777544
192	1.070159645
193	1.05999414
194	1.053028998
195	1.04843113
196	1.04390507
197	1.037647304
198	1.036509014
199	1.031368376
200	1.024990612
201	1.021288775
202	1.020260011
203	1.019222182
204	1.012795829
205	1.008758532
206	1.003872393
207	0.998646054
208	0.9954333037
209	0.9904401571
210	0.9889642401
211	0.9841922816
212	0.9786757008
213	0.9766738637
214	0.9702647407
215	0.9674956396
216	0.9630949679
217	0.9589564852
218	0.9550652174
219	0.9536277837
220	0.9525349469
221	0.947889006
222	0.9452594293
223	0.9407958218
224	0.9395916109
225	0.9340160154
226	0.9313611685
227	0.9271263456
228	0.9248701323
229	0.9239363198
230	0.9230251011
231	0.9220340539
232	0.918262047
233	0.9175029266
234	0.9167498354
235	0.9147166303
236	0.9112965444
237	0.9029275338
238	0.8987151933
239	0.8942153879
240	0.8863343964
241	0.8817271531
242	0.8775313161
243	0.8739270252
244	0.8666096992
245	0.8653359169
246	0.8646074611
247	0.8637996515
248	0.8606348052
249	0.8525949776
250	0.8457583415
251	0.8398398433
252	0.8388886695
253	0.8317965869
254	0.8285253936
255	0.8249947757
256	0.818400632
257	0.810079302
258	0.8021944242
259	0.7960734232
260	0.7947910829
261	0.7930472946
262	0.7856585383
263	0.7797277653
264	0.7784910146
265	0.7733808618
266	0.7726310541
267	0.7701396585
268	0.7678026932
269	0.7651478585
270	0.7596223286
271	0.7590186054
272	0.7525621206
273	0.7469781458
274	0.7443683111
275	0.7433044176
276	0.7411377341
277	0.7406131027
278	0.7400554952
279	0.734307121
280	0.7329748389
281	0.7323036362
282	0.7273628214
283	0.7264478432
284	0.725941742
285	0.724854604
286	0.7214626601
287	0.7160527582
288	0.7120242252
289	0.7070519817
290	0.7065966317
291	0.7046313847
292	0.7009875293
293	0.6998663591
294	0.6990322777
295	0.6979423854
296	0.6975262807
297	0.6950959372
298	0.6907172615
299	0.6895519491
300	0.6869765015
301	0.6829190812
302	0.6820765041
303	0.6816553187
304	0.6763563682
305	0.6749076141
306	0.674423341
307	0.6694577148
308	0.6671267439
309	0.6652675283
310	0.6648911419
311	0.6626884402
312	0.6605666999
313	0.6601494876
314	0.6584103563
315	0.6580612791
316	0.6565527058
317	0.6556545241
318	0.6547140434
319	0.6538195562
320	0.6493771341
321	0.6457800285
322	0.6445410245
323	0.6429504641
324	0.6419958492
325	0.6402149399
326	0.6395422764
327	0.6363670551
328	0.6334518112
329	0.6319909999
330	0.6305016361
331	0.6286224647
332	0.6265629149
333	0.6262278426
334	0.6242704085
335	0.6208514696
336	0.6205025196
337	0.6201797893
338	0.6184034201
339	0.6175922408
340	0.6161727987
341	0.6141016257
342	0.6126983735
343	0.6124034253
344	0.6114975267
345	0.6107232724
346	0.6100030729
347	0.6094152936
348	0.6068119722
349	0.6065324831
350	0.6049343804
351	0.6036507019
352	0.6028601504
353	0.6026069403
354	0.5990501022
355	0.5976534431
356	0.5964416637
357	0.5958163242
358	0.5929910347
359	0.5909532495
360	0.5907005344
361	0.5904707797
362	0.5885355127
363	0.586865084
364	0.5859440829
365	0.5857333362
366	0.5855244491
367	0.5853223443
368	0.582958026
369	0.5803718127
370	0.5795256178
371	0.5792572938
372	0.5773024382
373	0.5767627068
374	0.5747137193
375	0.5723725047
376	0.5712645658
377	0.5698737309
378	0.5690682737
379	0.5688254284
380	0.5685971872
381	0.5673656415
382	0.5668325714
383	0.565661443
384	0.5637237898
385	0.5622852934
386	0.5605518327
387	0.5592462658
388	0.5582842822
389	0.5572368766
390	0.5568680107
391	0.5563925253
392	0.5540060596
393	0.5522635174
394	0.5515608057
395	0.54897456
396	0.5470236505
397	0.5467097625
398	0.5457529186
399	0.5445026356
400	0.5430085628
401	0.5428301053
402	0.5411569348
403	0.5394985652
404	0.538905527
405	0.5386430816
