iter	Passed	Remaining
0	0	260
1	0	254
2	0	271
3	1	254
4	1	258
5	1	258
6	1	245
7	2	251
8	2	246
9	2	254
10	2	268
11	3	275
12	3	283
13	4	297
14	4	304
15	4	304
16	5	309
17	5	314
18	6	313
19	6	317
20	6	324
21	7	317
22	7	320
23	7	315
24	8	318
25	8	316
26	8	318
27	9	315
28	9	316
29	9	319
30	10	318
31	10	314
32	10	313
33	10	308
34	11	304
35	11	304
36	11	303
37	11	302
38	12	300
39	12	300
40	12	298
41	13	297
42	13	296
43	13	296
44	13	292
45	14	290
46	14	290
47	14	289
48	14	287
49	15	286
50	15	285
51	15	284
52	15	284
53	16	284
54	16	284
55	16	284
56	17	287
57	17	289
58	18	291
59	18	294
60	19	296
61	19	299
62	20	300
63	20	301
64	21	303
65	21	304
66	21	305
67	22	306
68	22	305
69	22	304
70	23	305
71	23	305
72	23	304
73	24	303
74	24	302
75	24	301
76	25	301
77	25	300
78	25	299
79	25	298
80	26	297
81	26	297
82	26	296
83	27	295
84	27	294
85	27	294
86	27	293
87	28	292
88	28	292
89	28	291
90	29	290
91	29	288
92	29	287
93	29	286
94	30	286
95	30	284
96	30	283
97	30	283
98	31	283
99	31	284
100	32	287
101	32	289
102	33	289
103	33	290
104	34	291
105	34	292
106	35	293
107	35	293
108	36	294
109	36	295
110	36	294
111	37	294
112	37	294
113	37	294
114	38	293
115	38	293
116	38	293
117	39	292
118	39	291
119	39	291
120	40	290
121	40	289
122	40	289
123	40	288
124	41	287
125	41	287
126	41	286
127	41	285
128	42	285
129	42	284
130	42	283
131	43	283
132	43	282
133	43	282
134	43	281
135	44	280
136	44	280
137	44	279
138	45	279
139	45	278
140	45	277
141	45	277
142	46	276
143	46	276
144	46	276
145	47	276
146	47	276
147	48	276
148	48	276
149	48	276
150	49	275
151	49	276
152	50	277
153	50	276
154	50	276
155	50	275
156	51	275
157	51	274
158	51	273
159	52	273
160	52	272
161	52	272
162	52	271
163	53	271
164	53	270
165	53	270
166	54	269
167	54	269
168	54	268
169	54	268
170	55	267
171	55	267
172	55	266
173	56	266
174	56	266
175	56	265
176	57	265
177	57	264
178	57	264
179	57	263
180	58	263
181	58	262
182	58	262
183	59	261
184	59	261
185	59	260
186	59	260
187	60	259
188	60	259
189	60	258
190	61	258
191	61	258
192	62	259
193	62	260
194	63	260
195	63	261
196	64	261
197	64	262
198	65	262
199	65	263
200	66	263
201	66	263
202	67	263
203	67	263
204	68	264
205	68	264
206	69	264
207	69	265
208	70	265
209	70	265
210	71	266
211	71	266
212	71	265
213	72	265
214	72	265
215	73	264
216	73	265
217	73	265
218	74	265
219	74	265
220	75	265
221	75	265
222	76	265
223	76	266
224	77	266
225	77	267
226	78	266
227	78	267
228	79	267
229	80	268
230	80	268
231	81	268
232	81	269
233	82	269
234	82	269
235	83	269
236	83	269
237	84	269
238	84	269
239	85	269
240	85	269
241	86	270
242	86	269
243	87	270
244	87	270
245	88	270
246	88	270
247	89	270
248	89	270
249	90	270
250	90	270
251	91	271
252	91	271
253	92	271
254	92	271
255	93	271
256	94	271
257	94	272
258	95	272
259	95	272
260	96	272
261	96	271
262	96	271
263	97	271
264	97	271
265	98	271
266	98	271
267	99	271
268	99	271
269	100	271
270	100	271
271	101	270
272	101	270
273	101	270
274	102	269
275	102	269
276	102	268
277	103	268
278	103	267
279	104	267
280	104	266
281	104	266
282	105	266
283	105	266
284	106	266
285	106	266
286	107	266
287	107	266
288	108	266
289	108	265
290	109	265
291	109	266
292	110	265
293	110	265
294	111	265
295	111	265
296	111	265
297	112	264
298	112	264
299	113	264
300	113	264
301	114	263
302	114	263
303	114	263
304	115	262
305	115	262
306	116	262
307	116	261
308	116	261
309	117	260
310	117	260
311	117	259
312	118	259
313	118	258
314	118	258
315	119	257
316	119	257
317	119	257
318	120	256
319	120	256
320	121	256
321	121	256
322	122	256
323	122	255
324	123	255
325	123	255
326	124	255
327	124	255
328	125	255
329	125	254
330	125	254
331	126	253
332	126	253
333	126	253
334	127	252
335	127	252
336	128	251
337	128	251
338	128	250
339	128	250
340	129	249
341	129	249
342	129	248
343	130	248
344	130	247
345	130	247
346	131	246
347	131	246
348	131	245
349	131	244
350	132	244
351	132	243
352	132	243
353	133	242
354	133	242
355	133	241
356	134	241
357	134	240
358	134	240
359	135	240
360	135	239
361	136	239
362	136	239
363	136	239
364	137	238
365	137	238
366	138	238
367	138	237
368	138	237
369	139	237
370	139	237
371	140	236
372	140	236
373	141	236
374	141	235
375	142	235
376	142	235
377	142	235
378	143	234
379	143	234
380	143	233
381	144	233
382	144	232
383	144	232
384	145	231
385	145	231
386	145	230
387	146	230
388	146	229
389	146	229
390	146	228
391	147	228
392	147	227
393	147	227
394	148	226
395	148	226
396	148	226
397	149	225
398	149	225
399	150	225
400	150	225
401	151	224
402	151	224
403	152	224
404	152	223
405	152	223
406	153	223
407	153	222
408	153	222
409	154	222
410	154	221
411	155	221
412	155	220
413	155	220
414	156	219
415	156	219
416	156	219
417	157	218
418	157	218
419	158	218
420	158	217
421	158	217
422	159	217
423	159	216
424	159	216
425	160	215
426	160	215
427	160	215
428	161	214
429	161	214
430	162	213
431	162	213
432	162	213
433	163	212
434	163	212
435	163	211
436	164	211
437	164	211
438	165	210
439	165	210
440	166	210
441	166	210
442	167	210
443	167	209
444	167	209
445	168	209
446	168	208
447	169	208
448	169	208
449	169	207
450	170	207
451	170	207
452	171	206
453	171	206
454	171	205
455	172	205
456	172	205
457	172	204
458	173	204
459	173	203
460	174	203
461	174	203
462	174	202
463	175	202
464	175	201
465	175	201
466	176	200
467	176	200
468	176	200
469	177	199
470	177	199
471	177	199
472	178	198
473	178	198
474	178	197
475	196	215
476	196	215
477	197	215
478	197	214
479	197	214
480	198	213
481	198	213
482	198	212
483	199	212
484	199	211
485	199	211
486	200	210
487	200	210
488	200	209
489	201	209
490	201	208
491	201	208
492	202	208
493	202	207
494	203	207
495	203	206
496	203	206
497	204	205
498	204	205
499	205	205
500	205	204
501	205	204
502	206	203
503	206	203
504	207	203
505	207	202
506	208	202
507	208	201
508	208	201
509	209	201
510	209	200
511	210	200
512	210	200
513	211	199
514	211	199
515	212	199
516	213	199
517	213	198
518	214	198
519	214	198
520	215	197
521	215	197
522	215	196
523	216	196
524	216	196
525	217	195
526	217	195
527	218	195
528	218	194
529	219	194
530	219	193
531	219	193
532	220	193
533	220	192
534	221	192
535	221	191
536	221	191
537	222	190
538	222	190
539	223	190
540	223	189
541	223	189
542	224	188
543	224	188
544	225	188
545	225	187
546	226	187
547	226	187
548	227	186
549	227	186
550	227	185
551	228	185
552	228	184
553	228	184
554	229	183
555	229	183
556	229	182
557	230	182
558	230	181
559	230	181
560	231	180
561	231	180
562	231	180
563	232	179
564	232	179
565	233	178
566	233	178
567	233	177
568	234	177
569	234	177
570	235	176
571	235	176
572	236	176
573	236	175
574	237	175
575	237	174
576	238	174
577	238	174
578	238	173
579	239	173
580	239	172
581	240	172
582	240	172
583	241	171
584	241	171
585	242	171
586	242	170
587	243	170
588	243	170
589	243	169
590	244	169
591	244	168
592	245	168
593	245	167
594	246	167
595	246	167
596	247	166
597	247	166
598	247	165
599	248	165
600	248	165
601	248	164
602	249	164
603	249	163
604	250	163
605	250	163
606	251	162
607	251	162
608	252	161
609	252	161
610	252	161
611	253	160
612	253	160
613	254	159
614	254	159
615	254	158
616	255	158
617	255	158
618	256	157
619	256	157
620	257	157
621	258	156
622	258	156
623	259	156
624	259	155
625	260	155
626	260	155
627	261	154
628	261	154
629	261	153
630	262	153
631	262	153
632	263	152
633	263	152
634	264	151
635	264	151
636	264	150
637	265	150
638	265	149
639	265	149
640	266	149
641	266	148
642	266	148
643	266	147
644	267	147
645	267	146
646	267	146
647	267	145
648	268	145
649	268	144
650	268	144
651	269	143
652	269	143
653	269	142
654	270	142
655	270	141
656	271	141
657	271	141
658	272	140
659	272	140
660	273	140
661	273	139
662	274	139
663	274	138
664	275	138
665	275	138
666	275	137
667	276	137
668	276	136
669	276	136
670	277	135
671	277	135
672	277	134
673	278	134
674	278	134
675	278	133
676	279	133
677	279	132
678	279	132
679	280	131
680	280	131
681	280	130
682	280	130
683	281	129
684	281	129
685	281	128
686	282	128
687	282	128
688	282	127
689	282	127
690	283	126
691	283	126
692	283	125
693	283	125
694	284	124
695	284	124
696	285	123
697	285	123
698	286	123
699	286	122
700	286	122
701	287	121
702	287	121
703	288	121
704	288	120
705	288	120
706	289	119
707	289	119
708	289	118
709	290	118
710	290	118
711	290	117
712	290	117
713	291	116
714	291	116
715	291	115
716	292	115
717	292	114
718	292	114
719	292	113
720	293	113
721	293	113
722	293	112
723	294	112
724	294	111
725	294	111
726	294	110
727	295	110
728	295	109
729	295	109
730	296	108
731	296	108
732	296	108
733	296	107
734	297	107
735	297	106
736	297	106
737	298	105
738	298	105
739	298	104
740	298	104
741	299	104
742	299	103
743	300	103
744	300	102
745	301	102
746	301	102
747	302	101
